Sigma,Alpha,Seed,Cost,Peak
0.5,0.05,11,56.56144089248571,13.01065676373627
0.5,0.05,14,48.58307091219479,12.103310586674704
0.5,0.05,17,46.14055648305218,15.581812902581095
0.75,0.05,2,48.94947106853829,13.31843839802893
0.75,0.05,1,56.06785904150486,13.455948263219826
0.75,0.05,0,52.424459930036285,12.695027964501898
0.5,0.05,16,54.25401713750782,13.162960417553085
0.5,0.05,15,55.06583493306278,13.641450651369125
0.75,0.05,8,44.14581228159748,12.790199539220158
0.75,0.05,6,60.44799196123985,18.07305189570808
0.75,0.05,9,48.78577762006162,13.254054217970733
0.75,0.05,3,62.4791804611502,14.560142209745209
0.75,0.05,10,54.58479080403468,16.43852462693842
0.75,0.05,4,55.13227013126659,11.977388982709668
0.75,0.05,11,57.33199078755026,12.794819885611885
0.75,0.05,5,61.280020352453526,15.08817733161188
0.75,0.05,7,57.88552660365289,13.83635261999471
0.75,0.05,18,48.50215703261008,12.22717132656783
0.75,0.05,13,55.64820849644573,11.056954273064001
0.75,0.05,14,57.41074600426716,19.493478523758412
0.75,0.05,12,65.40206230696447,18.23087235018361
0.75,0.05,15,56.93809326794291,12.122616422994206
0.75,0.05,19,54.572522790498795,10.840614149917759
0.75,0.05,16,58.40368365717496,14.808558674691314
0.75,0.05,17,60.65813129202363,17.207603941257215
0.0,0.15,9,31.446475142227317,14.54606678813552
0.0,0.15,2,52.963628005975295,20.199683558816268
0.0,0.15,1,46.10287178989399,12.647832658791
0.0,0.15,4,54.46991387286658,14.87933591345837
0.0,0.15,8,49.71358117548593,14.994302688823542
0.0,0.15,0,60.417313680369595,15.072686984873869
0.0,0.15,5,59.37841040041074,13.669806356226495
0.0,0.15,6,54.38285994598307,15.226241358831967
0.0,0.15,7,54.93145050854657,18.896156498513534
0.0,0.15,3,60.57016390739281,13.65193681
0.0,0.15,12,54.118216409746644,13.119471284413825
0.0,0.15,10,59.99794550099595,18.037378642164033
0.0,0.15,11,52.84725363570762,18.423186246849394
0.1,0.15,2,42.81888658375536,18.501189043217856
0.0,0.15,14,51.56893552231437,17.63726011339797
0.0,0.15,18,48.058692787491026,16.12681257452447
0.0,0.15,15,53.74701391690265,18.254395789513335
0.0,0.15,13,50.54967466318017,16.062851791685993
0.1,0.15,1,44.72776207332365,15.94208104503235
0.0,0.15,19,53.0728947775062,16.985902155027038
0.1,0.15,0,56.103792779035544,13.953965826657207
0.1,0.15,6,46.63817883652221,17.629900251139045
0.1,0.15,3,48.567155262734346,13.365300636621072
0.0,0.15,16,58.69576695863477,17.70527172466007
0.0,0.15,17,55.24907286376545,15.42946240400262
0.1,0.15,5,54.957149696986114,18.82288773347348
0.1,0.15,10,46.38566580917686,13.296209184773254
0.1,0.15,4,56.29712523528516,13.653415534533146
0.1,0.15,9,50.73999408629867,17.692933808295383
0.25,0.15,0,47.23688855472589,14.994955096286049
0.1,0.15,18,56.33831024438092,12.087644232487234
0.25,0.15,4,49.36527596283531,12.18684574291466
0.25,0.15,1,54.033186199869036,15.108450883705212
0.1,0.15,16,53.446837767666985,13.974413125659984
0.1,0.15,15,53.01295229201842,14.23030054450392
0.1,0.15,11,51.758939677690286,16.231862794924137
0.1,0.15,14,50.38975490660041,12.893725065585835
0.1,0.15,12,54.206951040060176,14.221323883724859
0.25,0.15,2,57.3702836439526,12.531919246072848
0.25,0.15,3,54.142412270685575,13.61049588021394
0.1,0.15,13,46.88528177491669,15.020777295863063
0.1,0.15,7,59.58485071622901,19.42096302420643
0.1,0.15,19,60.64047347902884,16.208542991959476
0.25,0.15,5,46.11988489414299,11.19647474918971
0.1,0.15,17,55.257244592665145,13.548635721005551
0.25,0.15,6,55.416847241588016,12.949352605371782
0.25,0.15,8,45.7355837492555,12.364043216502058
0.25,0.15,15,48.47680833823402,17.170207428294884
0.1,0.15,8,65.67772564360597,16.406758757907944
0.25,0.15,14,47.901304250236954,17.628012764380355
0.25,0.15,10,55.18368546269532,21.236635135656694
0.25,0.15,7,54.07708958167932,13.235026757426201
0.25,0.15,18,53.66102720893144,12.168356270627608
0.25,0.15,9,53.96741836783047,13.182830345132285
0.25,0.15,11,48.60261746338172,16.7594163321396
0.25,0.15,16,59.570091041222476,17.918576256567597
0.25,0.15,13,52.536599810413875,14.617548645401426
0.25,0.15,17,54.328996282783116,14.181478162433319
0.5,0.15,2,51.760332395722514,13.051296384973817
0.5,0.15,4,52.143458142761126,12.762353944368758
0.5,0.15,8,51.884212606862754,14.754288776320402
0.5,0.15,7,54.010156531744265,12.231957555720097
0.25,0.15,19,60.30677738696542,15.240133380171464
0.25,0.15,12,58.365504051761036,13.424369559239281
0.5,0.15,5,45.93554451902434,11.875821262714645
0.5,0.15,11,41.33720047377149,11.52871727974975
0.5,0.15,6,52.185911276033,16.719283649313994
0.5,0.15,13,52.49845113077599,13.865046572860564
0.5,0.15,3,58.552936469794325,12.210539269947262
0.5,0.15,0,54.93799478197666,13.224749397169962
0.5,0.15,10,48.56533270745141,21.447810611859367
0.5,0.15,17,42.031733360199894,14.194261862574459
0.5,0.15,1,60.510383005125966,15.6773887664531
0.5,0.15,16,50.6493445693807,12.071810749224607
0.5,0.15,18,45.23724812591344,12.588364718518182
0.5,0.15,12,46.76003231921421,14.300306180897719
0.75,0.15,0,59.48626864503237,17.1480002993695
0.75,0.15,1,55.31443442757202,12.544549301187589
0.5,0.15,14,63.781697613567026,18.40926042804141
0.5,0.15,9,65.47755890760304,15.787429368704581
0.75,0.15,2,54.24908491229371,12.93250895565014
0.75,0.15,3,47.06657910635244,15.860800995277632
0.5,0.15,19,53.140781916282705,14.090607386504724
0.75,0.15,5,55.22181797946107,14.51303415224477
